Trajectories
100
		platform:points1			platform:points2			platform:points3			platform:points4			platform:points5			platform:points6			platform:points7			platform:points8			platform:points9			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
23	0	80.3553	-39.555	806.36	-337.508	-64.2732	805.812	-337.616	65.3159	824.153	77.3773	90.9837	786.072	72.9973	68.0433	694.352	-341.68	85.2324	735.87	-341.384	-43.7045	714.613	76.5457	-61.5421	716.421	-142.983	10.9153	564.101
24	0	80.3595	-39.5295	806.363	-337.493	-64.3027	805.811	-337.613	65.2955	824.148	77.3707	91.0291	786.07	73.0006	68.198	694.422	-341.693	85.1864	735.861	-341.371	-43.7319	714.614	76.7319	-61.05	716.397	-142.981	10.9082	564.096
25	0	80.369	-39.5151	806.368	-337.482	-64.333	805.816	-337.616	65.2686	824.146	77.3621	91.0555	786.068	72.9962	68.2097	694.41	-341.692	85.1554	735.851	-341.354	-43.7603	714.616	76.7527	-61.035	716.397	-142.98	10.8931	564.095
26	0	80.3757	-39.4596	806.371	-337.469	-64.3497	805.827	-337.626	65.2561	824.145	77.3554	91.065	786.055	72.9916	68.2418	694.413	-341.699	85.1462	735.852	-341.353	-43.7925	714.63	76.7587	-61.0096	716.406	-142.976	10.8849	564.099
27	0	80.3838	-39.4312	806.37	-337.462	-64.3637	805.825	-337.633	65.2453	824.141	77.3467	91.1017	786.049	72.9771	68.1299	694.33	-341.711	85.1188	735.853	-341.342	-43.8285	714.625	76.7606	-60.9761	716.405	-142.976	10.8789	564.097
28	0	80.3889	-39.4118	806.372	-337.452	-64.3998	805.83	-337.639	65.2217	824.133	77.3421	91.1447	786.048	72.9745	68.2815	694.397	-341.719	85.0952	735.854	-341.341	-43.8404	714.635	76.7871	-60.9387	716.403	-142.976	10.8713	564.099
29	0	80.3961	-39.3852	806.368	-337.443	-64.4131	805.838	-337.641	65.2079	824.134	77.3346	91.1519	786.045	72.9707	68.2905	694.393	-341.721	85.0707	735.85	-341.324	-43.8764	714.636	76.7896	-60.9091	716.408	-142.973	10.8603	564.098
30	0	80.4031	-39.3842	806.37	-337.227	-64.6866	806.008	-337.704	65.2511	824.078	77.3299	91.1843	786.038	72.9587	68.1773	694.318	-341.726	85.0488	735.855	-341.32	-43.8914	714.64	76.8222	-60.8574	716.408	-142.976	10.852	564.098
31	0	80.404	-39.3648	806.37	-337.223	-64.6839	806.003	-337.7	65.2533	824.078	77.3194	91.202	786.036	72.9634	68.319	694.396	-341.734	85.0436	735.85	-341.323	-43.9146	714.648	76.817	-60.8406	716.403	-142.983	10.8501	564.101
32	0	80.4019	-39.3348	806.365	-337.229	-64.6891	806.002	-337.708	65.2482	824.078	77.3126	91.1977	786.027	72.9507	68.1934	694.31	-341.742	85.0342	735.851	-341.325	-43.9058	714.645	76.8323	-60.8052	716.402	-142.985	10.8482	564.098
33	0	80.4093	-39.3486	806.362	-337.365	-64.5903	805.95	-337.7	65.2267	824.09	77.3179	91.2237	786.019	72.9507	68.2173	694.302	-341.74	85.0292	735.862	-341.325	-43.9082	714.648	76.8459	-60.7654	716.397	-142.992	10.8429	564.099
34	0	80.409	-39.3486	806.36	-337.216	-64.7031	806.019	-337.706	65.2225	824.085	77.316	91.2073	786.02	72.9499	68.3399	694.373	-341.741	85.0228	735.863	-341.321	-43.9344	714.661	76.8405	-60.7782	716.393	-142.994	10.8382	564.101
35	0	80.4075	-39.3492	806.355	-337.421	-64.4636	805.873	-337.654	65.1854	824.136	77.3151	91.2089	786.015	72.9477	68.33	694.363	-341.742	85.0332	735.866	-341.324	-43.9227	714.659	76.853	-60.7418	716.382	-143.001	10.8536	564.096
36	0	80.4098	-39.3436	806.347	-337.421	-64.4499	805.885	-337.655	65.1907	824.137	77.3148	91.2019	786.01	72.9452	68.1954	694.292	-341.737	85.0449	735.868	-341.334	-43.8976	714.653	76.8494	-60.7245	716.369	-143.004	10.8437	564.098
37	0	80.4095	-39.3473	806.339	-337.421	-64.4562	805.885	-337.651	65.1984	824.143	77.3206	91.196	786.008	72.9464	68.198	694.289	-341.739	85.0465	735.876	-341.327	-43.9159	714.664	76.8488	-60.7252	716.365	-143.007	10.8478	564.099
38	0	80.4097	-39.3755	806.338	-337.428	-64.4386	805.889	-337.646	65.2022	824.153	77.326	91.1935	786.004	72.9465	68.1761	694.284	-341.735	85.052	735.876	-341.337	-43.8841	714.67	76.5918	-61.4229	716.399	-143.015	10.8512	564.1
39	0	80.4018	-39.393	806.326	-337.366	-64.5568	805.969	-337.681	65.2741	824.122	77.3339	91.1624	786.001	72.9496	68.1794	694.286	-341.731	85.0773	735.888	-341.34	-43.8777	714.666	76.754	-60.9635	716.358	-143.012	10.8624	564.103
40	0	80.4022	-39.4096	806.323	-337.43	-64.4217	805.892	-337.638	65.2442	824.162	77.343	91.1511	786.001	72.9541	68.1552	694.279	-341.728	85.0809	735.895	-341.345	-43.8482	714.667	76.748	-60.9641	716.351	-143.017	10.8692	564.095
41	0	80.3972	-39.4202	806.316	-337.435	-64.3782	805.889	-337.63	65.2707	824.171	77.3578	91.1349	786	72.9607	68.1337	694.277	-341.72	85.1169	735.906	-341.357	-43.8284	714.678	76.7366	-60.9842	716.341	-143.023	10.8856	564.103
42	0	80.3936	-39.4545	806.317	-337.449	-64.3482	805.891	-337.621	65.3033	824.172	77.3676	91.1089	786.003	72.9642	68.115	694.278	-341.71	85.1504	735.908	-341.358	-43.7809	714.675	76.7294	-60.9962	716.344	-143.026	10.8977	564.098
43	0	80.3821	-39.4838	806.315	-337.456	-64.334	805.886	-337.619	65.3067	824.175	77.3674	91.0753	786.004	72.9754	68.105	694.279	-341.701	85.1677	735.909	-341.371	-43.7781	714.669	76.5403	-61.5248	716.372	-143.028	10.8994	564.097
44	0	80.3759	-39.5113	806.303	-337.471	-64.3039	805.884	-337.613	65.3213	824.18	77.3766	91.051	786.004	72.9856	68.207	694.352	-341.699	85.1893	735.914	-341.382	-43.7367	714.667	76.7028	-61.055	716.329	-143.026	10.9268	564.098
45	0	80.3685	-39.5459	806.305	-337.483	-64.2794	805.877	-337.605	65.3499	824.19	77.3907	91.016	786.007	72.9857	68.0502	694.282	-341.683	85.2123	735.921	-341.381	-43.7167	714.669	76.5197	-61.5691	716.359	-143.029	10.9285	564.101
46	0	80.3668	-39.5757	806.303	-337.491	-64.2562	805.875	-337.593	65.3702	824.193	77.3938	90.9728	786.013	72.9906	68.0251	694.288	-341.679	85.2293	735.922	-341.388	-43.7009	714.67	76.5094	-61.5839	716.355	-143.027	10.9336	564.1
47	0	80.3593	-39.6065	806.294	-337.503	-64.2274	805.862	-337.595	65.3834	824.189	77.4024	90.965	786.019	72.9995	68.0095	694.288	-341.67	85.2737	735.919	-341.4	-43.6617	714.662	76.5091	-61.6063	716.355	-143.027	10.9341	564.099
48	0	80.3523	-39.6285	806.297	-337.521	-64.2079	805.856	-337.587	65.4065	824.192	77.4077	90.9363	786.025	73.0043	67.9919	694.301	-341.661	85.2959	735.923	-341.406	-43.6423	714.653	76.4964	-61.6241	716.351	-143.032	10.9513	564.101
49	0	80.3425	-39.6632	806.297	-337.53	-64.1834	805.843	-337.584	65.4123	824.198	77.4159	90.9173	786.029	73.0087	67.9687	694.306	-341.66	85.3173	735.917	-341.414	-43.6035	714.643	76.4864	-61.6499	716.359	-143.028	10.9683	564.1
50	0	80.3355	-39.6656	806.299	-337.536	-64.1505	805.84	-337.577	65.4408	824.193	77.4277	90.9042	786.036	73.014	67.946	694.305	-341.648	85.3358	735.919	-341.422	-43.5816	714.642	76.4813	-61.6651	716.356	-143.029	10.9689	564.098
51	0	80.3346	-39.7077	806.299	-337.547	-64.12	805.838	-337.569	65.4468	824.2	77.4272	90.8643	786.046	73.0202	67.9462	694.316	-341.642	85.3739	735.921	-341.429	-43.5673	714.638	76.4773	-61.668	716.354	-143.026	10.9785	564.102
52	0	80.3336	-39.7239	806.298	-337.547	-64.1206	805.832	-337.566	65.4514	824.197	77.4376	90.8628	786.049	73.0283	67.9306	694.316	-341.635	85.3674	735.924	-341.427	-43.5567	714.64	76.481	-61.6948	716.357	-143.02	10.9677	564.098
